
Pays,Canada
Jour,Malade,Gueri,Deces,Population
1,402,595,3,997
2,538,455,7,993
3,714,267,19,981
4,939,35,26,974
5,918,47,35,965
6,911,45,44,956
7,902,45,53,947
8,893,45,62,938
9,886,44,70,930
10,878,44,78,922
11,871,43,86,914
12,863,43,94,906
13,852,43,105,895
14,845,42,113,887
15,837,42,121,879
16,830,41,129,871
17,822,41,137,863
18,814,41,145,855

Pays,ZIMBABWE111
Jour,Malade,Gueri,Deces,Population
1,402,595,3,997
2,538,455,7,993
3,721,267,12,988
4,945,36,19,981
5,925,47,28,972
6,917,46,37,963
7,909,45,46,954
8,895,50,55,945
9,893,44,63,937
10,885,44,71,929
11,868,53,79,921
12,870,43,87,913
13,862,43,95,905
14,854,43,103,897
15,847,42,111,889
16,839,42,119,881
17,831,42,127,873
18,824,41,135,865

Pays,Carte du monde
Jour,Malade,Gueri,Deces,Population
1,600,1400,0,2000
2,804,1190,6,1994
3,1076,910,14,1986
4,1435,534,31,1969
5,1884,71,45,1955
6,1843,94,63,1937
7,1828,91,81,1919
8,1811,90,99,1901
9,1788,95,117,1883
10,1779,88,133,1867
11,1763,88,149,1851
12,1739,96,165,1835
13,1733,86,181,1819
14,1714,86,200,1800
15,1699,85,216,1784
16,1684,84,232,1768
17,1669,83,248,1752
18,1653,83,264,1736
